session_id,timestamp,sentence_index,sentence_text,audio_file,audio_duration,start_time,end_time,duration,gesture_label,animation_clip,gesture_source,gesture_function,pedagogical_context,mouth_cue_count,dominant_mouth_cue,annotation_status,gold_gesture_label,suitability_score,naturalness_score,sync_score,engagement_support_score,annotator_name,notes
SESSION-1778820269982,2026-05-15T04:44:29.985Z,0,Selamat pagi juga!,generated.wav,9.12,0,1.824,1.824,Greeting,Greeting,backend_sequence,Menyapa peserta didik,Pembuka pembelajaran,13,B,mapped,,,,,,,
SESSION-1778820269982,2026-05-15T04:44:29.985Z,1,"Saya baik-baik saja, terima kasih untuk pertanyaanmu.",generated.wav,9.12,1.824,7.195,5.371,closing,closing,sentence_rule_override,Menutup pembelajaran,Penutup,31,B,mapped,,,,,,,
SESSION-1778820269982,2026-05-15T04:44:29.985Z,2,Bagaimana denganmu?,generated.wav,9.12,7.195,9.12,1.925,menjelaskan_normal,menjelaskan_normal,backend_sequence,Gesture avatar,Konteks pembelajaran,12,B,mapped,,,,,,,
SESSION-1778821232474,2026-05-15T05:00:32.478Z,0,"Selamat siang juga, Halo!",generated.wav,6.456,0,2.783,2.783,Greeting,Greeting,backend_sequence,Menyapa peserta didik,Pembuka pembelajaran,19,B,mapped,,,,,,,
SESSION-1778821232474,2026-05-15T05:00:32.478Z,1,"Aku baik-baik saja, terima kasih.",generated.wav,6.456,2.783,6.456,3.673,closing,closing,sentence_rule_override,Menutup pembelajaran,Penutup,19,B,mapped,,,,,,,
"SESSION-1778823086444","2026-05-15T05:31:26.448Z","0","Halo!","generated.wav","10.368","0","0.402","0.402","Greeting","Greeting","backend_sequence","Menyapa peserta didik","Pembuka pembelajaran","4","X","mapped","","","","","","",""
"SESSION-1778823086444","2026-05-15T05:31:26.448Z","1","Kabar baik, terima kasih atas pertanyaanmu!","generated.wav","10.368","0.402","3.858","3.456","closing","closing","sentence_rule_override","Menutup pembelajaran","Penutup","28","C","mapped","","","","","","",""
"SESSION-1778823086444","2026-05-15T05:31:26.448Z","2","Saya siap membantu dan berbagi pengetahuan.","generated.wav","10.368","3.858","7.314","3.456","Talking_7","Talking_7","backend_sequence","Menjelaskan dengan variasi gerak","Variasi penjelasan","29","C","mapped","","","","","","",""
"SESSION-1778823086444","2026-05-15T05:31:26.448Z","3","Apa yang ingin kamu tanyakan hari ini?","generated.wav","10.368","7.314","10.368","3.054","Talking_4","Talking_4","backend_sequence","Memberikan penguatan penjelasan","Penguatan materi","18","B","mapped","","","","","","",""
"SESSION-1778823322155","2026-05-15T05:35:22.158Z","0","Halo!","generated.wav","8.136","0","0.502","0.502","Greeting","Greeting","backend_sequence","Menyapa peserta didik","Pembuka pembelajaran","4","X","mapped","","","","","","",""
"SESSION-1778823322155","2026-05-15T05:35:22.158Z","1","Selamat datang di kelas.","generated.wav","8.136","0.502","2.913","2.411","normal","normal","backend_sequence","Gesture bicara umum","Penjelasan umum","14","C","mapped","","","","","","",""
"SESSION-1778823322155","2026-05-15T05:35:22.158Z","2","Aku baik-baik saja, terima kasih untuk pertanyaanmu.","generated.wav","8.136","2.913","8.136","5.223","closing","closing","sentence_rule_override","Menutup pembelajaran","Penutup","30","B","mapped","","","","","","",""
"SESSION-1779028905342","2026-05-17T14:41:45.346Z","0","Basis data adalah kumpulan yang sistematik dan logis dari data-data yang terkait dengan informasi yang ingin digunakan.","generated.wav","22.464","0","10.402","10.402","Talking_0","Talking_0","backend_sequence","Menjelaskan materi","Penjelasan konsep","54","B","mapped","","","","","","",""
"SESSION-1779028905342","2026-05-17T14:41:45.346Z","1","Basis data ini dapat berupa file, database, atau lain-lain yang berguna untuk menyimpan, mengolah, serta memanfaatkan data secara efektif.","generated.wav","22.464","10.402","22.464","12.062","Waving","Waving","backend_sequence","Gesture avatar","Konteks pembelajaran","70","B","mapped","","","","","","",""
"SES-1779091529324","2026-05-18T08:05:29.329Z","0","The types of hardware components on a computer include the central processing unit (CPU), memory (RAM), storage devices such as hard drives or solid state drives (SSDs), graphics cards, sound cards, network interface cards, and input/output devices like keyboards, mice, and monitors.","generated.wav","24","0","24","24","Greeting","Greeting","sentence_rule_override","Menyapa peserta didik","Pembuka pembelajaran","141","B","mapped","","","","","","",""
"SES-1779091753771","2026-05-18T08:09:13.774Z","0","Halo!","generated.wav","6.36","0","0.489","0.489","Greeting","Greeting","backend_sequence","Menyapa peserta didik","Pembuka pembelajaran","4","X","mapped","","","","","","",""
"SES-1779091753771","2026-05-18T08:09:13.774Z","1","Hari ini saya baik-baik saja.","generated.wav","6.36","0.489","3.327","2.838","normal","normal","backend_sequence","Gesture bicara umum","Penjelasan umum","17","C","mapped","","","","","","",""
"SES-1779091753771","2026-05-18T08:09:13.774Z","2","Terima kasih atas pertanyaanmu!","generated.wav","6.36","3.327","6.36","3.033","closing","closing","sentence_rule_override","Menutup pembelajaran","Penutup","22","B","mapped","","","","","","",""
"SES-1779164415874","2026-05-19T04:20:15.881Z","0","Halo!","generated.wav","10.464","0","0.406","0.406","Greeting","Greeting","backend_sequence","Menyapa peserta didik","Pembuka pembelajaran","4","X","mapped","","","","","","",""
"SES-1779164415874","2026-05-19T04:20:15.881Z","1","Pagi yang indah dan cerah!","generated.wav","10.464","0.406","2.515","2.109","Waving","Waving","backend_sequence","Menyapa atau memberi transisi pembuka","Pembuka atau transisi","14","B","mapped","","","","","","",""
"SES-1779164415874","2026-05-19T04:20:15.881Z","2","Hari ini saya rasa sangat baik.","generated.wav","10.464","2.515","5.03","2.515","Talking_3","Talking_3","backend_sequence","Menjelaskan konsep lanjutan","Elaborasi konsep","13","B","mapped","","","","","","",""
