annotation_id,session_id,timestamp,user_input,ai_response,predicted_gesture,predicted_gesture_sequence,confidence,audio_duration,animation_clip,lip_sync_file,pedagogical_context,gold_gesture_label,gold_gesture_sequence,gesture_function,suitability_score,naturalness_score,sync_score,engagement_support_score,annotator_name,validation_status,notes
ANN-1778782075068-B26CVA,,2026-05-14T18:07:55.068Z,"selamat malam, apa kabar","Selamat malam! Malam ini baik, harapan bahwa Anda juga baik.",Greeting,Greeting|normal,0.75,5.016,Greeting,generated.json,,,,,,,,,,system-log,
ANN-1778782285994-FX53TI,,2026-05-14T18:11:25.994Z,halo apa kabar bu guru,Halo anak! Kebahagiaan dan keamanan ada di sini.,Greeting,Greeting|Talking_1,0.75,4.176,Greeting,generated.json,,,,,,,,,,system-log,
ANN-1778783109368-NBKJL0,,2026-05-14T18:25:09.368Z,apa yang dimaksud sistem informasi,"Sistem informasi adalah suatu sistem yang dirancang untuk mengumpulkan, menyimpan, memproses, dan mengirimkan data ke berbagai pihak. Sistem informasi dapat berupa aplikasi web, desktop, atau mobile yang membantu dalam pengambilan keputusan, pelaporan, dan lain-lain.",Talking_1,Talking_1|normal|Talking_7|Talking_3|Talking_0|Talking_4|Talking_6|menjelaskan_normal,0.75,22.488,Talking_1,generated.json,,,,,,,,,,system-log,
ANN-1778783109368-NBKJL0,,2026-05-14T18:27:02.508Z,apa yang dimaksud sistem informasi,"Sistem informasi adalah suatu sistem yang dirancang untuk mengumpulkan, menyimpan, memproses, dan mengirimkan data ke berbagai pihak. Sistem informasi dapat berupa aplikasi web, desktop, atau mobile yang membantu dalam pengambilan keputusan, pelaporan, dan lain-lain.",Talking_1,Talking_1|normal|Talking_7|Talking_3|Talking_0|Talking_4|Talking_6|menjelaskan_normal,0.75,22.488,Talking_1,generated.json,penelasan konsep,explaining_normal,explain normal,menjelaskan,4,3,4,3,A01,validated,baik
ANN-1778787042034-9FHTZU,,2026-05-14T19:30:42.034Z,Selamat malam Apa kabar,"Selamat malam! Alhamdulillah, saya baik-baik saja. Terima kasih atas pertanyaanmu.",Greeting,Greeting|Waving|Talking_4|normal,0.75,7.536,Greeting,generated.json,,,,,,,,,,system-log,
ANN-1778787552188-UKEFED,,2026-05-14T19:39:12.188Z,Jelaskan apa itu sistem informasi,"Sistem informasi adalah suatu koleksi data yang disimpan dan diolah untuk membantu pengambilan keputusan, pelaporan, serta memberikan informasi yang akurat dan cepat. Sistem informasi dapat berupa aplikasi software, database, atau sistem online yang digunakan oleh organisasi, bisnis, ataupun individu. Tujuan dari sistem informasi adalah untuk memudahkan akses dan penggunaan data, sehingga dapat meningkatkan efisiensi kerja, reduksi biaya, serta meningkatkan kualitas pelayanan.",Greeting,Greeting|normal|menjelaskan_normal|normal|Talking_0|Talking_6|Talking_4|Talking_7|normal|Talking_6|terbuka|Talking_7|terbuka|menjelaskan_normal,0.75,41.16,Greeting,generated.json,,,,,,,,,,system-log,
"SES-1779032611179","SES-1779032611179","2026-05-17T15:43:31.182Z","selamat malam apa kabar","Selamat malam! Kebahagiaan berarti. Aku baik-baik saja, terima kasih untuk bertanya. Saya sedang siap mengajar atau membantu Anda dengan apapun yang diperlukan.","Greeting","Greeting|Talking_1|menjelaskan_normal|Idle|Talking_2","","12.984","Greeting","audios/generated.json","","","","","","","","","","system-log",""
"ANN-1779032611200","SES-1779032611200","2026-05-17T15:47:25.977Z","selamat malam apa kabar","Selamat malam! Kebahagiaan berarti. Aku baik-baik saja, terima kasih untuk bertanya. Saya sedang siap mengajar atau membantu Anda dengan apapun yang diperlukan.","Greeting","Greeting | Talking_1 | menjelaskan_normal | Idle | Talking_2","","12.984","Greeting","generated.json","pembukaan","Greeting","Greeting","Menyapa","4","4","5","4","A01","validated","Salam pembuka gesture"
"SES-1779091529324","SES-1779091529324","2026-05-18T08:05:29.324Z","sebutkan jenis perangkat keras pada komputer","The types of hardware components on a computer include the central processing unit (CPU), memory (RAM), storage devices such as hard drives or solid state drives (SSDs), graphics cards, sound cards, network interface cards, and input/output devices like keyboards, mice, and monitors.","Talking_1","Talking_1|Greeting|Talking_3|normal|Talking_0|Talking_5|Talking_4|Talking_5","","24","Talking_1","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779091753771","SES-1779091753771","2026-05-18T08:09:13.771Z","halo apa kabarmu hari ini","Halo! Hari ini saya baik-baik saja. Terima kasih atas pertanyaanmu!","Greeting","Greeting|normal|terbuka|Idle","","6.36","Greeting","audios/generated.json","","","","","","","","","","system-log",""
