id,text,pedagogical_context,gesture_label,animation_clip,gesture_function,language,source
appreciation_017,Jawaban tersebut benar dan sesuai dengan materi.,apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
closing_020,"Baik, materi arsitektur komputer kita akhiri sampai di sini.",penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
greeting_025,"Halo, selamat datang pada pembelajaran hari ini.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
instruction_039,Perhatikan instruksi berikut sebelum mengerjakan tugas.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
instruction_034,Coba tuliskan contoh penerapan data mining dalam kehidupan sehari-hari.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
pointing_021,Bagian yang saya tunjukkan menjelaskan hubungan antar komponen.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
instruction_027,Coba tuliskan contoh penerapan arsitektur komputer dalam kehidupan sehari-hari.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
idle_024,Silakan lanjutkan jika ada hal yang ingin ditanyakan.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
pointing_003,Perhatikan diagram manajemen proyek TI yang terlihat pada layar.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
instruction_014,Coba tuliskan contoh penerapan basis data dalam kehidupan sehari-hari.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
correction_039,Bagian ini perlu dikoreksi karena masih kurang sesuai.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
explain_011,sistem pendukung keputusan adalah konsep yang digunakan untuk mengelola data dan informasi.,penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
instruction_003,Silakan buka modul pembelajaran pada bagian jaringan komputer.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
correction_032,Bagian ini perlu dikoreksi karena masih kurang sesuai.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
pointing_017,Perhatikan komponen utama yang ditunjukkan pada gambar.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
explain_034,"Dalam pembelajaran ini, data mining akan dijelaskan melalui beberapa tahapan.",penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
pointing_016,Perhatikan komponen utama yang ditunjukkan pada gambar.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
appreciation_007,"Bagus, jawaban Anda sudah tepat.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
idle_026,Silakan lanjutkan jika ada hal yang ingin ditanyakan.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
idle_036,Saya akan menunggu respons dari Anda.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
correction_013,Bagian ini perlu dikoreksi karena masih kurang sesuai.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
idle_012,Silakan lanjutkan jika ada hal yang ingin ditanyakan.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
instruction_002,Kerjakan soal latihan secara mandiri selama sepuluh menit.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
appreciation_025,"Hebat, Anda sudah memahami konsep data mining.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
correction_005,"Jawaban tersebut mendekati benar, tetapi perlu dilengkapi.",koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
appreciation_012,Jawaban tersebut benar dan sesuai dengan materi.,apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
greeting_009,"Selamat pagi, hari ini kita akan mulai materi data mining.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
correction_036,Coba perhatikan kembali definisi perancangan sistem.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
explain_001,"Secara umum, arsitektur komputer dapat dipahami sebagai bagian penting dalam proses bisnis.",penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
emphasis_008,Poin utama yang harus Anda ingat adalah fungsi sistem dalam organisasi.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
closing_023,"Pembelajaran hari ini selesai, silakan pelajari kembali materinya.",penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
emphasis_036,Poin utama yang harus Anda ingat adalah fungsi sistem dalam organisasi.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
idle_017,Silakan ketik pertanyaan berikutnya.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
appreciation_013,Jawaban tersebut benar dan sesuai dengan materi.,apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
closing_038,"Demikian pembelajaran hari ini, sampai bertemu pada sesi berikutnya.",penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
pointing_028,Silakan lihat tabel berikut untuk memahami contoh kecerdasan buatan.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
explain_012,Materi kecerdasan buatan menjelaskan bagaimana komponen saling berhubungan.,penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
greeting_002,"Assalamualaikum, mari kita mulai kelas tentang keamanan informasi.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
emphasis_039,Poin utama yang harus Anda ingat adalah fungsi sistem dalam organisasi.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
explain_004,"Secara umum, data mining dapat dipahami sebagai bagian penting dalam proses bisnis.",penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
pointing_010,Perhatikan komponen utama yang ditunjukkan pada gambar.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
pointing_019,Silakan lihat tabel berikut untuk memahami contoh basis data.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
appreciation_029,"Sangat baik, contoh yang Anda berikan relevan.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
idle_021,"Baik, saya siap membantu Anda.",menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
greeting_006,"Selamat datang, hari ini kita akan membahas kecerdasan buatan.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
pointing_034,Silakan lihat tabel berikut untuk memahami contoh machine learning.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
greeting_032,"Selamat pagi, hari ini kita akan mulai materi manajemen proyek TI.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
explain_029,jaringan komputer adalah konsep yang digunakan untuk mengelola data dan informasi.,penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
emphasis_032,Bagian ini sangat penting untuk dipahami.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
greeting_018,"Assalamualaikum, mari kita mulai kelas tentang jaringan komputer.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
instruction_009,Silakan kerjakan latihan tentang pemrograman web setelah penjelasan ini.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
idle_004,Saya menunggu pertanyaan Anda berikutnya.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
idle_032,Saya akan menunggu respons dari Anda.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
correction_016,Coba perhatikan kembali definisi kecerdasan buatan.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
closing_016,Terima kasih atas perhatian Anda dalam pembelajaran hari ini.,penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
idle_025,Silakan lanjutkan jika ada hal yang ingin ditanyakan.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
pointing_012,Silakan lihat tabel berikut untuk memahami contoh cloud computing.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
